Statement,Emotion
everyone is against wigan because we are the biggest club ,anger
"anyway, I found a short scale today that was perfect for my purposes. soft on the hands, won't aggravate my now-chronic tendonitis ",anger
GAMEDAY VS BUFORD TODAY AT 5:30 AT HOME!!!!!!!!! NEVER BEEN SO EXCITED #revenge ,anger
Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya #revenge #bwahaha ,anger
exactly what I have been saying on fb.. ,anger
my wasp sting is so itchy ,anger
"-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat. -- ",anger
srry my feelings offend u ?? ,anger
Sorry to burst your bubble but it isn't that century anymore. Welcome to the 21st century. ,anger
I can't even right now #bb18 ,anger
Asian Tiger #Mosquitoes are so relentless. More aggressive than the kind I dealt was a kid. ,anger
Sometimes the best motivations come from 'proving them wrong' #energy #relentless #MotivationalQuotes ,anger
I wouldn't bring this up if I were you. It's a very touchy subject. And people get way to offended these days ,anger
"Are you lost in the fury, fearing that you'll fail? ",anger
I need a ??sushi date?? ??an olive guarded date?? and a ????Rockys date?? #tiff ,anger
my alarm clock was ringing this morning n my flatmate knocked on my door and asked if i set anything on fire or if i'm burning alive : :: ,anger
now you gotta do that with fast n furious ,anger
I remember TAs in the gamedev program said he had temper tantrums in class all the time lol ,anger
i love that tay &amp; tiff are just sitting at my house while i'm at work ?? ,anger
"“He who is slow to anger is better than the mighty, And he who rules his spirit than he who takes a city.”nP16:32 #bibleverse #pride ",anger
"Oh gosh, if you get 800+ raging comments from cruise fans, I will just die laughing! ",anger
Skipping meals is the national way of showing #disappointment and . #wiz ,anger
"{Strong hands moving to firmly grope each of thighs, squeezing as her digging nails extract a growl from me.} ",anger
u tried boiling em takes years too ,anger
if u know who died.. I would also burst out crying....nFrom JOY!!! ?? ,anger
nIt's always fun to anger 'All the Old Dudes.' with Rock N' Roll : ,anger
being bitter only hurts yourself lmaooo ,anger
Sometimes I think the British political landscape is desolate and then I look over at the foaming wasteland of the US and think we're OK ,anger
A wise man told me that holdin' a grudge is likenLetting somebody just live inside of your head rent free ,anger
Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned. #AdultingIsTheWorst ,anger
I love Lizzy Warren's latest rage against Wall Street. ,anger
When you forget to mention you were bought dreamboys tickets ???? ,anger
Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness ,anger
My little sister sure can hold a grudge ?????? ,anger
"&lt; Steve between his feet, feeling a blush sting his cheeks. 'I can undress myself, thank you very much,' he snapped &gt; ",anger
one of the main things im doing w 13c is filling in the void of my empty bitter heart by making everything how i wanted it to be growing up ,anger
snap music kept me from running into traffic 2005-2007. ,anger
"When anger rises, think of the consequences. #quote #wisdom ",anger
Never make a #decision when you're #angry and never make a #promise when you're #happy. #wisewords ,anger
Keep in mind. We're all weak. Don't insult people just because they're human. ,anger
i watch all your videos but i like madden better! ,anger
Projection is perception. See it in someone else? You also at some level have that within you. #worry ,anger
So Rangers v Celtic ll #revenge ,anger
ehhh I guess. I want to everyone I've ever burst out laughing in front of?? ,anger
It's true! I reverse-engineered the drink. It's a scientific method. I hear it's all the rage. ,anger
yesss..apparently you've been popular on snap ?? ,anger
When a grown adult doesn't drink or has never drank before I just assume they were raised around a raging alcoholic and they want no parts. ,anger
I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? ,anger
"#Zumba, #PiYo and #HIIT sessions. Sweaty, burning but sooooooo good! #missedoutonsummerbikinibodybutwintersunbodywilldo ",anger
all three of my agin's on the pout . ,anger
Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday #politeness ,anger
don't give someone power by letting their words offend you ,anger
"Rt i need that one back, that whole cd was hard, the one with a #rage flew through, rhyme flow, n the 1 u speak on the dollar ",anger
Lot 100 would give Ghandi road rage ,anger
at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it ,anger
"How can I tell Happy Anniversary, when u are not happy.. #ampalaya #paitpaitanangpeg ",anger
I love when angry tweets bc it makes me laugh but also hate it bc it makes me miss her more ,anger
when you find out the initiative isn't even a thing ?? ,anger
"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'104 Gorgeous ",anger
This all resent #India #Pakistan problem is save ,anger
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax ,anger
Wolfpack theme and trons and sting wore the wolf shirt ,anger
"sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat ",anger
Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday #anger #politeness ,anger
or in my case a raging moody cow lol why i buy moody cow socks lol ,anger
I'm just doing what u should b doing just minding my business and grinding relentless ,anger
Holding a #grudge doesn't make you #strong; it makes you #bitter. #Forgiving doesn't make you #weak; it sets you #free. ,anger
regarde tes snap ,anger
Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO ,anger
"the orange one is #poisonous and #bitter. You shouldn't judge the #blue one by how it looks but by how it tastes, #delicious. ",anger
Who got madden 17 or 2k17 ps4 add TrackdawgT lets run it ,anger
I wish the next madden has a story mode too. Just like Fifa 17 #madden ,anger
taking offense to acount...he ranks 32 of 36 over last 2 years by SABR ,anger
Thank u Justin for this amazing concert. I can't believe that only u can provoke these thousand smiles these night#BelieveTour ,anger
#klitschko over fury any day #boxing ,anger
The best revenge is massive success. ,anger
"Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ... ",anger
Houston might lose a coach tomorrow or by midnight. #yikes ? ,anger
"Well, the lines for Sweden's goals sure sting. ",anger
Don't get #bitter get #BETTER ,anger
Don't be bitter ,anger
Went n a bodega 4 incense lookd the sis behind the counter &amp; it was like a mirror she said where u from I said here she said no originally ,anger
Recommended reading: Prisoners of Hate by Aaron Beck ,anger
that's the joke. I know it's incense ,anger
Leveled at the half. Much better offense expected in the second half ,anger
huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. ,anger
#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily ,anger
One of my favorite classic cars is the Plymouth fiery. ,anger
"As your own lives in order to complete our amazing life journey successfully, it is there. ",anger
Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat ,anger
Focus on yourself. Don't let other's love define you when you're happy and don't let it make you bitter if you get hurt. ,anger
I wish the next madden has a story mode too. Just like Fifa 17 ,anger
*I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can - ,anger
??The intensity that play at is extraordinary #relentless #AFLCatsSwans #AFLFinals ?????? ,anger
Need a new outlet for ,anger
I need a ??sushi date?? ??an olive guarded date?? and a ????Rockys date?? ,anger
my snap is andriaprebles ?? ,anger
Colors of the leaves are- changing. Heatwaves in LA still- raging. Lattes made in batches. Visit pumpkin patches. #FallSongs ,anger
#ldf16 what shall we do this weekend? #spraypainting in #greenwichmarket with #core246 #lilylou #fret &amp; #benoakley ,anger
"It takes a man to suffer ignorance and smile. Be yourself, no matter what they say. ",anger
"meeee, i'm lvl 320 and i have not a single relentless ",anger
ummm that dragons fury though.. ,anger
he's perfect. But not even in that way where you sort of resent him or suspect that he leads a double life. Just perfect. ,anger
I thought I peeped him on your snap. That's the homie ??? lol ,anger
My heart goes out to that woman for the indignity of what she is sitting through. ,anger
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday #relentless ,anger
I'm sensing a theme here tho lol ,anger
ESPN just assumed I wanted their free magazines ,anger
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work #snap ",anger
These #NewEnglandPatriots jerseys look like some whack ones that you tried to make when you made custom jerseys on #madden 04 ,anger
No grudge. Only truth in abundance. ,anger
"take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that. ",anger
630am meeting Olympic House #10golds24 . #neverquit #believe #dreambig #TeamTTO #going4gold ,anger
Houston might lose a coach tomorrow or by midnight. #yikes #offense? ,anger
It's easy to hold a grudge harder to let go. ,anger
Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #against #machines ,anger
testing ,anger
Happiness is the best revenge ,anger
I forgot about this nice area down here with the fiery hearths ,anger
"It takes a man to suffer ignorance and smile. Be yourself, no matter what they say. #sting ",anger
also madden isn't the funniest game to watch and if there isn't much happening it's boring ,anger
"Mm, okay. Ham for you and turkey for me.' Gives his hair a ruffle before heading back in the kitchen to set out the ",anger
"Oh my. Watching #rage. It's been like, ages ",anger
Like hello? I am your first born you must always laugh at my jokes. ,anger
Sometimes the best motivations come from 'proving them wrong' #energy #MotivationalQuotes ,anger
Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya #bwahaha ,anger
and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?' ,anger
"If someone keeps #laughing at you, don't #fret . At least u r giving #happiness .'n#quotes #quotestoliveby ",anger
sounds like a good game plan for our offense.... ,anger
The most important thing to #bestrong is to hold your #thoughts ,anger
So Rangers v Celtic ll ,anger
I think they may be ,anger
I should really study today for chemistry but playing madden is just way more fun. ,anger
i love the word fret so much and im in heaven ,anger
is the live event Brock vs Orton 2 this Saturday on the WWE Network? If not it needs to be! : #wwe ,anger
Thursdays at 6pm Vespers &amp; Meditation #prayerful #plainsong #multisensory #candles #incense #psalms #music #silence #faithful sing or listen ,anger
pray for my boy huff ,anger
GAMEDAY VS BUFORD TODAY AT 5:30 AT HOME!!!!!!!!! NEVER BEEN SO EXCITED ,anger
snap: hiAleshia ?? ,anger
I need to stop second guess myself and just go with the first thought and go with it. ,anger
630am meeting Olympic House #10golds24 . #relentless #neverquit #believe #dreambig #TeamTTO #going4gold ,anger
"it doesn't offend me but it's just,,, Weird. ",anger
Drop Snapchat names #bored #swap #pics ,anger
Follow me on Snapchat ?? Carlabtst15 #snapchat ,anger
"I love when #girls are busy in teaching how to #pout while taking #selfie in a mall , their desication is immense #women love #perfection ",anger
follow my girl tiff she only got 3 followers?????????? ,anger
peanut butter takes away the sting ,anger
hate to see y'all frown but I'd rather see him smiling ??? ,anger
Jared + #snap? ?? ,anger
Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #nudes #tits #snapchat ,anger
ordered my vacation bathing suits. one less thing to fret about. ,anger
Cheap pout my brodcast ,anger
Ughhh love a clean house and my incense lit aromatherapy ,anger
Follow me on Snapchat ?? Carlabtst15 #snapchat #snap ,anger
Vale! Vale! Sip sangria and taste tantalizing tapas 's fiery flamenco nights! #MinutesFromHoM #SilverLake #LA #Flamenco ,anger
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless ",anger
Love the new song I can't stop thinking about you by #sting. ,anger
"Just to help maintain and boost our status as a world class centre for education, culture and tolerance. ",anger
"one of my favorite songs brother, real talk. ",anger
one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome ,anger
he didn't sting me luckily. He just flew off happy and drunk. Lolololol ,anger
"Ellie just gave me loads of gifts with notes on em for uni n I burst out in tears, I LOVE HER?? ",anger
what I miss? ,anger
wrath of khan is one of the best movies of all time ,anger
I'm girly in the sense that I always have lashes &amp; nails done but tomboy in the sense that black is my only color &amp; refuse the ruffle life ,anger
Follow up. Follow through. Be #relentless. #success ,anger
turn that frown upside down ,anger
IT'S GAME DAY!!!! T MINUS 14:30 ,anger
rose incense are the best thing I've ever bought ,anger
Literally burst out laughing. ,anger
Follow up. Follow through. Be . #success ,anger
Wrinkles should merely hide where frown have been. - Mark Twain ,anger
Love the new song I can't stop thinking about you by . ,anger
I feel like I am drowning. #depression #anxiety #falure #worthless ,fear
I get so nervous even thinking about talking to ****** I wanna die ,fear
I lost my blinders .... #panic ,fear
I feel like I am drowning. #depression #falure #worthless ,fear
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened ,fear
I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him ,fear
I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #fear #SingleGirlProblems ,fear
I don't think I've ever moved so fast in a panic in all my life ?? Gave me such a fright ?? ,fear
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible ,fear
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... ,fear
procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack ,fear
My #anxiety is rising tonight and I'm not sure why. Sometimes I wonder if I'm a magnet for any free-floating anxiety in the universe. ,fear
"Im not a #nervouswreck, Im a #nervous #pileup. #GoingCrazy #HelpMe #Insane #Antisocial ",fear
#panic Panic attack from fear of starting new medication ,fear
Job interview in the afternoon #nervous #ek ,fear
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ?? will be sneaking up on me ,fear
anxiety level- 100 ,fear
Wah just woke up frm a fucking nightmare ,fear
I get so much PUSSYnP - panic attacks nU - uncontrollable anxiety nS - suicidal fantasies nS - sadness nY - yearning for death ,fear
Cosplaying properly for the first time on Saturday! Pretty nervous.. ,fear
"I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair ",fear
"Ignored broken tooth for so long, now have abscess. Need dentist but #fear makes it hard for me to go..45 and still can't go to dentist ",fear
We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous ,fear
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint ,fear
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people? #anxiety #recluse #issues ",fear
Super shitting it about this tattoo #nervous ,fear
Breaking out in hives for the first time since college finals. #anxiety sucks ,fear
nI get sick to my stomach everytime I see this video &amp; for the helicopter crew to make such comments is revolting. ,fear
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ?? will be sneaking up on me #frightened ,fear
6. 5 minutes to perform and I'm #nervous I wish these noises would stop #handicapped #annoyed ,fear
I hate when people say 'I need to talk to you or we need to talk.' My anxiety immediately goes up... ,fear
He replied to my comments 4 times now i'm shaking omg ,fear
"Being stuck in the roof of your house provides amazing view but sheer terror of falling down, kinda like life ",fear
Just want Saturday to be over but then again I want to do good #LSAT #nervous ,fear
"Im not a #nervouswreck, Im a #pileup. #GoingCrazy #HelpMe #Insane #Antisocial ",fear
I was literally shaking getting the EKG done lol ?? ,fear
thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific ,fear
'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited ,fear
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit ",fear
I fear for the future of mankind ,fear
First day of college feeling nervous ,fear
"i might have #hysteria ,i don't kno if it's just #anxiety or both,..need a diagnosis cuz somethin' is messed up,need ert bu i nvr come out ",fear
you made me cry and shake to the point where my parents had to calm me down and give me calming tablets... ,fear
Gonna get some acupuncture today for all my damn anxiety ???? ,fear
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape ,fear
it would be great but what if the card crashes ??. It's happened to me twice #nightmare ,fear
now im feeling the #worry ,fear
That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous ???? ,fear
i had a hard time falling a sleep and woke up several times because i was afraid of bugs crawling on me and i ended up waking up with a bite ,fear
White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis. ,fear
Today was horrible and it was only half a day ,fear
"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME..... ",fear
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy ",fear
fucking hell mate absolute nightmare ?? ,fear
"I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate ",fear
Life long fear of havin a shit and a spider crawls up ya bum ,fear
"What a shamefull, unequal, dangerous and worrying world we live in nowadays! #terrifying #Charlotte #terrorism #shitworldforourkids ",fear
thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 ,fear
"I start work tmrw yall, i'm nervous lol ",fear
I Don't know what make #Pakistan fear more their #terrorist or their #terrorism #TerrorStatePak ,fear
"If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom ",fear
Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence. ,fear
I had a panic attack when I couldn't find on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul #panic ,fear
Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel #intimidation ,fear
Saga: When all of your devices and teles fail just in time for bake off #panic #gbbo ,fear
Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for ??100k ? ,fear
Do you think humans have the sense for recognizing impending doom? #anxiety ,fear
I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #SingleGirlProblems ,fear
im literally shaking bc im nervous and bc its fucking cold oh how i love life ,fear
I feel horrible. I have accounting today but physically and mentally am not okay ?? ,fear
nLikewise #death #cutting #despair ,fear
I am about to be a coward and I feel terrible. But I can't even face this ?? ,fear
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit #horror ",fear
I'd rather leave my child with #shudder ,fear
is this a bridge if I have to drive on such I will stop breathing Yooo I can't I'm to afraid ,fear
My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. ?????? ,fear
I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ,fear
I just deleted my save file trying to load it up. Now I have to start. All. Over. Again. I am going to freaking kill someone. Pray for me. ,fear
Omg that is just horrific. Something needs to be done. ?? ,fear
I'm getting so nervous for my first anatomy exam ?? ,fear
the fact that YOURE nervous makes me want to crawl in a hole ,fear
mm nothing like a good old fashioned panic induced cry on your living room floor ,fear
r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!! ,fear
Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel ,fear
"In #Bangladesh war, #US almost bombed us had #Russia not been there. What strategy for #China on #Pakistan? Time ripe to crush #terror camps ",fear
I have another test tonight #nervous ,fear
"These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans. ",fear
Can't believe how nervous I feel tonight...who feels the same #mufc ,fear
WAS THERE A CLOWN IN YOUR NEIGHBORHOOD? #creepy #EnoughIsEnough ,fear
WAS THERE A CLOWN IN YOUR NEIGHBORHOOD? #nightmare #creepy #EnoughIsEnough ,fear
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",fear
She was so posh it frightened me. I'm still scared. ,fear
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news ",fear
"Woke by #nightmare 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read. ",fear
? ughh I just want all this to be over.. it's like a nightmare! can we all just get along? ,fear
I seem to alternate between 'sleep-full' and sleepless nights. Tonight is a sleepless one. ?? #insomnia #anxiety #notfair ,fear
Jimmy Carr makes me want to cry and cry *shiver* ,fear
in my dream....They were trying to steal my kidney!!! #nightmare #blackmarket #whydidiwatchthat ,fear
Jimmy Carr makes me want to cry and cry *shiver* #awful ,fear
Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful ?????? ,fear
And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life ,fear
Andrew's hands start shaking and he says 'I hope I die.. like right now' ,fear
I dread this drive every Wednesday ?? ,fear
"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so ",fear
Maybe can send me good luck on my job interview tomorrow. #nervous ?? ,fear
that's what I'm afraid of! ,fear
So not pumped for this interview #nervous ,fear
An kind of drive home from work today #nightmare #dailyfeels ,fear
I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows. #fear #fashion ,fear
"When you wake up, scroll through social media, and another father was taken from his child #nightmare #everyday #KeithLamontScott ",fear
hi my names anxiety and i have shaun ,fear
Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago aged 30 I was made redundant. That's when it started ,fear
data stolen in 2014 and only now do you tell us . ,fear
I dread math ?? ,fear
I could pop round #nightmare ,fear
I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely : ,fear
How do you ever stop being #afraid of someone that you live with ,fear
I despair at this madness! It's beyond #shocking it's cold blooded murder! How long will #SouthAfrica stand by &amp;watch #WorldRhinoDay ,fear
in my dream....They were trying to steal my kidney!!! #blackmarket #whydidiwatchthat ,fear
So she goes first. She gets her book signed &amp; I can barely take their picture cuz I'm shaking ?????????? ,fear
Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life ?? #nightmare ,fear
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #race #riots #GasCrisis2016 #NoDAPL #rape ,fear
Well this is flipping great! Flipping standstill on the freeway! #anxiety #stepofftheledge #youvegottobekiddingme ,fear
When you arrive at the office the day before your first ever festival and the Internet is down #panic ,fear
are you guys still down? When can we go up? #panic ,fear
The focal points of war lie in #terrorism and the #UN needs to address #violentextremism ,fear
Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt; ,fear
Put my passport in a safe back after getting back from Australia ??. Only problem is now I can't remember where the safe is!! #panic ?? ,fear
"lydiaaaa, we were the only ones that were supposed to know that you make me nervous ?? ",fear
because there is a realistic probability that a clown might be their next president. #clown #uspol #nightmare ,fear
What the fuck is he even doing ? He should be off that's fucking horrific ! ,fear
I'm still too nervous to try it. I need to man up and give it ago. ,fear
If 3 people are in a country of 300 million - you are going to RUIN the whole country over 3 people? #fear ,fear
#zionist = #terror nImagine this kid was a #Palestinian or #MuslimnZionists stealing #innocence of childhood from #Jewish #children ,fear
I don't know how people can binge watch horror films ...ALONE!???? ,fear
Haven't gotten one hour of sleep... Today is going to be a fun day ?? #restless ,fear
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,fear
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism ,fear
"my boyfriend once forcibly stopped all of my anxiety coping methods at once holding me, forcing my hands down that kinda stuff and I -- ",fear
I thought the nausea and headaches had passed but lol I feel awful today ,fear
Job interview in the afternoon #ek ,fear
Tomorrow is the day I cut and dye my hair! ?? #nervous #excited ,fear
A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic ,fear
"# ISIS REFERENCES SCRUBBED? Federal complaint against suspect in NYC, NJ bombings appears to omit terror names in bloody journ... #news ",fear
car rental you have made realize why I always use What a #nightmare!! #disgusted ,fear
searching for what pro and academic writers have to say about #writing #anxiety and #writersblock ,fear
What an actual nightmare ,fear
Can we go back 2 weeks and start again ?? This is seriously dreadful ,fear
I absolutely love having an anxiety attack halfway through a family meal ,fear
Pakistan is the biggest victim of terrorism - Nawaz Sharif nReally? It should have been biggest creator of terrorism. #UNGA ,fear
"After #terror our leaders say, 'Don't jump to conclusions,' but [in matters of #racial unrest], they are silent. Why is that? ",fear
im tired of people telling me the worry about me when in fact they probably never gave a fuck about me ,fear
#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs ! ,fear
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone #nervous ",fear
im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem ,fear
"Just heard what happen at grandad hometown last night such a terrible news ??, hope everyone okay ?? ",fear
"reality in the form of endless tragedies. She didn't know how to react at first, being too frightened to repeat another-- ",fear
It's 5:55am. I'm hungry but there is no food. #panic ,fear
I have a job interview with in Loughborough next month #nervous!!! ,fear
"every horror movie that frightened me as a child i.e. 'IT', Halloween movies all of them, nightmare on.. ",fear
"butter up the walls, nightmare ",fear
both afraid of all the same things ,fear
onus is on Pakistan' : MEAIndia after #Uri #terror attack ,fear
Don't wanna really go out but I can't say no. Deffo have a fear of missing out ,fear
Biggest #THREAT 2 #GLOBAL #STABILITY? #climatechange #food #water #security #terrorism #russia #war #trump #clinton #geopolitics #korea $vwo ,fear
it would be great but what if the card crashes ??. It's happened to me twice ,fear
My doctor is giving me flower extract to relieve anxiety and reduce panic attacks :' ,fear
I get soooo nervous when an actually attractive guy tries to talk to me in person. Like 910 I turn him down just from habit ?? ,fear
We should be ignoring these rioters like the current administration ignores #terrorism. This will obviously make it stop. ,fear
"I'm okay, dont worry. I wish i'd been a better kid. I'm trying to slow down. I'm sorry for letting you down. ",fear
indian army crossed loc into pok to bust terror camp on 20th Sept night? ,fear
these horrific situations will only get worse if trump is elected. vote Hillary. ,fear
"?? scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1 ",fear
my husband lost £800 when he booked an apartment through that didn't exist... didn't care #nightmare #airbnbnightmare ,fear
"Issue with that is, will the effort involved get back the amount I put into it? That's what I'm fearful of. ",fear
"Avoiding #fears only makes them scarier. Whatever your #fear, if you face it, it should start to fade. #courage ",fear
My anxiety is playing around HELP!!!!! ,fear
Got to be up in 4 hours to go back to work #cantsleep #excited #nervous ,fear
my husband lost £800 when he booked an apartment through that didn't exist... didn't care #airbnbnightmare ,fear
"Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS ??and pick up my new flat keys #anxiety ",fear
I'm afraid she's the goat you libeling people? #afraid #goat #libeling ,fear
"Oh god, not Brewer again. The horror, the horror ",fear
&gt;.&lt; too much clutter in my brain with recent little changes that I haven't yet processed... #dying #panic #IveBeenBusierWhyAmIOverwhelmed : ,fear
"The more videos post, the more i am convinced i might should not have done that #fear #Brendonati ",fear
Someone wake me when make 2016 remix of 'Why'??bw #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much ,fear
think shes afraid to fight Holly. One can only imagine what goes through her head when she thinks of Cyborg ,fear
I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 #nightmare ,fear
Worst than going to the morgue to do a positive ID. #horrible Reuters ,fear
Scott Dann injured aka my worst nightmare ,fear
"bad news fam, life is still hard and awful #depression #atleastIhaveBuffy ",fear
induction day tomorrow for pizza express #nervous ,fear
Dates in the glove box' is pure panic excuse #GBBO ,fear
"Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas #nightmare #stressed ",fear
I had a panic attack when I couldn't find on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul ,fear
how maybe it was with you and your parents..that I would understand you and your fear of indifference from your own mom and dad.. ,fear
"My interview went well today, I can't wait to find out what happens. #nervous #excited #interview #jobinterview ",fear
"I'm used to bears, I'm used to coyotes, I love the idea of wolves. But this is hard. I don't want to be fearful of the meadow or the pines. ",fear
awe I feel so bad being naive ou is the worst ,fear
Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!n #Loneliness #aloneinthecity ,fear
I can never find the exact #emoji that I'm after at the exact moment that I need it #panic ,fear
which one....the one where u threaten violence? Or the phedophiliac u support? Or the constitution violations he proposes? ,fear
still shaking though ?? ,fear
Watching It Follows. This is a super freaky movie. #horror #scary ,fear
Watching Paranormal Activity: The Ghost Dimension. I'm not sure how I feel about it yet. #horror ,fear
"Even death is unreliable. Instead of zero it may be some ghastly hallucination, such as the square root of minus one. Samuel Beckett ",fear
thanks. #nightmare ,fear
